metric,value
completed_requests,4
read_requests,3
write_requests,1
completed_bytes,2232320
successful_bytes,2232320
failed_requests,0
program_failures,0
corrected_reads,0
uncorrectable_reads,0
read_retries,0
makespan_ns,60196
measurement_duration_ns,60196
mean_latency_ns,14872.2
p50_latency_ns,2271
p95_latency_ns,50687
p99_latency_ns,50687
p99_9_latency_ns,50687
effective_bandwidth_GBps,37.0842
effective_goodput_GBps,37.0842
op_READ_count,3
op_READ_bytes,2228224
op_READ_bandwidth_GBps,37.0161
op_READ_mean_latency_ns,3097.67
op_READ_p50_latency_ns,2271
op_READ_p95_latency_ns,4799
op_READ_p99_latency_ns,4799
op_READ_p99_9_latency_ns,4799
op_WRITE_count,1
op_WRITE_bytes,4096
op_WRITE_bandwidth_GBps,0.0680444
op_WRITE_mean_latency_ns,50196
op_WRITE_p50_latency_ns,50687
op_WRITE_p95_latency_ns,50687
op_WRITE_p99_latency_ns,50687
op_WRITE_p99_9_latency_ns,50687
